teks_bersih,kategori,urgensi,instansi
kepada yth pemda data kependudukan saya masih salah di sistem setelah berkali kali lapor tolong dong,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mau lapor nih pengurusan izin mendirikan bangunan sdh setahun tidak selesai kami tunggu tindakannya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mohon tembok penahan tanah jebol longsor ancam rumah warga di bawah kami sangat terganggu,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
ada keluhan nih jalan berlubang gede di depan sekolah udah ada yang jatuh,infrastruktur,urgen,Dinas Pekerjaan Umum
permisi mau lapor stok vaksin di puskesmas habis imunisasi bayi tertunda kapan ada solusinya,kesehatan,urgen,Dinas Kesehatan
rel kereta ga ada pagarnya udah ada yang ketabrak minggu lalu,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
tolong kartu indonesia pintar anak saya tidak cair padahal memenuhi syarat segera ya pak,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
tempat pembuangan sampah sementara kelebihan kapasitas meluap kami tunggu tindakannya,kebersihan,urgen,Dinas Lingkungan Hidup
bu got depan pasar tersumbat sampah banjir pas hujan tolong diperhatikan,kebersihan,urgen,Dinas Lingkungan Hidup
minta tolong nomor telepon kantor kecamatan susah dihubungi segera ya pak,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
halo pemda tempat parkir rs daerah kurang luas sering penuh,kesehatan,biasa,Dinas Kesehatan
program beasiswa dari pemda sangat membantu anak kami kami tunggu tindakannya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
halo pemda jalan depan sekolah retak dalam banget anak anak sering jatuh segera ya pak,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
lampu jalan di gang kami mati udah 2 minggu gelap bgt malem,infrastruktur,urgen,Dinas Pekerjaan Umum
ada kelompok yang sering bikin keributan di malam hari ganggu warga,keamanan,urgen,Satuan Polisi Pamong Praja
halo selamat siang saluran air besar jebol banjir rendam puluhan rumah masyarakat tolong diperhatikan,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
pembuangan sampah ilegal di pinggir sawah menggunung,kebersihan,urgen,Dinas Lingkungan Hidup
halo selamat siang puskesmas pembantu tutup ga ada tenaga kesehatan sama sekali mohon ditindak,kesehatan,urgen,Dinas Kesehatan
mbak data kependudukan saya masih salah di sistem setelah berkali kali lapor tolong cepet ditangani,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
tempat hiburan malam berisik ganggu warga sekitar tiap malam minggu,keamanan,biasa,Satuan Polisi Pamong Praja
tolong tumpukan sampah di gang belakang makin tinggi ga ada yang angkut terima kasih semasih belumnya,kebersihan,urgen,Dinas Lingkungan Hidup
balita di desa kami banyak yang kena gizi buruk butuh intervensi segera sudah kami laporkan berkali kali,kesehatan,sangat_urgen,Dinas Kesehatan
halo pemda tempat parkir rs daerah kurang luas sering penuh mohon perhatiannya,kesehatan,biasa,Dinas Kesehatan
kepada yth pemda nomor telepon kantor kecamatan susah dihubungi kapan diselesaikan,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
ada yang buang bangkai hewan di lahan kosong bau busuk minta ampun penduduk resah ini,kebersihan,urgen,Dinas Lingkungan Hidup
selamat pagi mau lapor pelaku kekerasan dalam rumah tangga kabur setelah menyerang korban parah udah lama nih,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
tidak ada wifi di ruang tunggu puskesmas,kesehatan,biasa,Dinas Kesehatan
terimakasih sudah mengadakan kegiatan bersih bersih di lingkungan kami harap segera ada tindakan,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
lampu merah di perempatan rusak rawan kecelakaan tolong diperhatikan,infrastruktur,urgen,Dinas Pekerjaan Umum
ada keluhan nih ambulans desa rusak ga bisa dipake warga ada yang sakit parah mohon ditindak,kesehatan,sangat_urgen,Dinas Kesehatan
program kb di puskesmas kami terhenti karena kekurangan petugas kami sangat terganggu,kesehatan,urgen,Dinas Kesehatan
selamat pagi mau lapor akta kelahiran anak susah banget diurusnya syaratnya berbelit belit terima kasih sebelumnya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mau lapor nih petugas apotek puskesmas kurang ramah saat melayani udah lama nih,kesehatan,biasa,Dinas Kesehatan
jalan provinsi ambrol kena longsor akses kota putus total udah lama nih,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
kepada yth pemda plang nama gang kami copot perlu dipasang lagi tolong dong,infrastruktur,biasa,Dinas Pekerjaan Umum
ada keluhan nih kasus pencurian di komplek kami makin sering ga ada ronda malam sudah kami laporkan berkali kali,keamanan,urgen,Satuan Polisi Pamong Praja
minta tolong lampu taman di alun alun beberapa yang mati tolong cepet ditangani,infrastruktur,biasa,Dinas Pekerjaan Umum
ada keluhan nih got kecil di depan rumah agak mampet segera ya pak,infrastruktur,biasa,Dinas Pekerjaan Umum
ada keluhan nih jalan masuk komplek rusak parah susah dilalui motor sudah kami laporkan berkali kali,infrastruktur,urgen,Dinas Pekerjaan Umum
selamat pagi mau lapor ada oknum yang sering mengintai rumah warga di malam hari mencurigakan udah lama nih,keamanan,urgen,Satuan Polisi Pamong Praja
sumber mata air desa kami tercemar limbah berwarna hijau berbau mohon ditindak,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
saluran irigasi sawah bocor petani rugi terus terima kasih sebelumnya,infrastruktur,urgen,Dinas Pekerjaan Umum
data penerima bantuan sosial tidak diperbarui masih pakai data lama tolong cepet ditangani,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
cat jembatan udah kusam perlu dicat ulang kami tunggu tindakannya,infrastruktur,biasa,Dinas Pekerjaan Umum
penertiban pkl ga konsisten balik lagi besoknya,keamanan,biasa,Satuan Polisi Pamong Praja
mau lapor nih jalan amblas dalam banget motor aku sampe jatuh tadi malem tolong cepet ditangani,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
pak tempat pembuangan sampah sementara kelebihan kapasitas meluap kapan diselesaikan,kebersihan,urgen,Dinas Lingkungan Hidup
antrian puskesmas ga teratur pasien lansia berdiri berjam jam,kesehatan,urgen,Dinas Kesehatan
saluran air kecil di gang agak tersumbat daun,infrastruktur,biasa,Dinas Pekerjaan Umum
mas ada kasus meningitis di kampung kami 3 orang udah masuk icu tolong cepet ditangani,kesehatan,sangat_urgen,Dinas Kesehatan
truk sampah ga pernah dateng ke rt kami udah 2 minggu numpuk tolong dong,kebersihan,urgen,Dinas Lingkungan Hidup
laporan: pengurusan izin mendirikan bangunan sudah setahun tidak selesai warga resah ini,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mas petugas kelurahan kurang ramah saat melayani warga harap buru buru ada tindakan,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
sampah daun di depan rumah belum disapu petugas,kebersihan,biasa,Dinas Lingkungan Hidup
minta tolong pembuangan sampah ilegal di pinggir sawah menggunung udah lama nih,kebersihan,urgen,Dinas Lingkungan Hidup
halo selamat siang program kb di puskesmas kami terhenti karena kekurangan petugas,kesehatan,urgen,Dinas Kesehatan
ada tambang ilegal beroperasi di wilayah kami merusak lingkungan,keamanan,urgen,Satuan Polisi Pamong Praja
jalan masuk komplek rusak parah susah dilalui motor,infrastruktur,urgen,Dinas Pekerjaan Umum
pak bank sampah di kelurahan kami ga jalan sudah kami laporkan berkali kali,kebersihan,biasa,Dinas Lingkungan Hidup
ada keluhan nih kartu indonesia pintar anak saya tidak cair padahal memenuhi syarat tolong diperhatikan,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
minta tolong ada tambang ilegal beroperasi di wilayah kami merusak lingkungan mohon perhatiannya,keamanan,urgen,Satuan Polisi Pamong Praja
tempat sampah di depan kantor kelurahan jarang dikosongkan,kebersihan,biasa,Dinas Lingkungan Hidup
pengaduan: jalan alternatif satu satunya ke desa kami rusak parah kami sangat terganggu,infrastruktur,urgen,Dinas Pekerjaan Umum
kepada yth pemda penertiban pkl ga konsisten balik lagi besoknya tolong diperhatikan,keamanan,biasa,Satuan Polisi Pamong Praja
tolong imunisasi anak di kelurahan kami ga jalan udah berbulan bulan,kesehatan,urgen,Dinas Kesehatan
bu kamar mandi puskesmas sering tidak ada airnya,kesehatan,biasa,Dinas Kesehatan
laporan: senang lihat kota kami makin rapi dan bersih kapan ada solusinya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
mau lapor nih jam buka puskesmas sering ga sesuai jadwal kapan ada solusinya,kesehatan,biasa,Dinas Kesehatan
pengaduan: loket pendaftaran puskesmas prosesnya lama banget terima kasih sebelumnya,kesehatan,biasa,Dinas Kesehatan
mbak ada bangunan yang cat temboknya jorok mengotori pemandangan udah lama nih,keamanan,biasa,Satuan Polisi Pamong Praja
selamat pagi mau lapor jalan amblas dalam banget motor aku sampe jatuh tadi malem tolong cepet ditangani,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
bu ktp saya udah 5 bulan masih belum jadi padahal semua syarat udah lengkap kapan ada solusinya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
kepada yth pemda obat obatan di puskesmas sering kosong pasien disuruh beli sendiri,kesehatan,urgen,Dinas Kesehatan
ruangan pelayanan dukcapil kurang nyaman ga ada ac,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
air pdam berasa aneh bau ga layak minum penduduk takut konsumsi udah lama nih,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
permisi mau lapor selamat hari jadi kota salatiga semoga makin maju mohon perhatiannya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
limbah kimia ngalir ke sawah tanaman warga pada mati semua,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
mas pak rt kami aktif banget ngurus warga mantap jiwa mohon ditindak,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
mau lapor nih petugas kelurahan sering ga ada di tempat pas jam kerja kapan diselesaikan,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
bu data kependudukan saya masih salah di sistem setelah berkali kali lapor segera ya pak,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
ada keluhan nih saluran air kecil di gang agak tersumbat daun terima kasih semasih belumnya,infrastruktur,biasa,Dinas Pekerjaan Umum
papan pengumuman di kantor kelurahan jarang diupdate sudah kami laporkan berkali kali,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
halo selamat siang sumber mata air desa kami tercemar limbah berwarna hijau berbau cepet ya pak,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
halo pemda surat keterangan domisili dipersulit minta syarat yang tidak masuk akal,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
pengaduan: papan informasi kesehatan di puskesmas jarang diperbarui udah lama nih,kesehatan,biasa,Dinas Kesehatan
jalan desa berlubang lubang parah apalagi musim hujan warga resah ini,infrastruktur,urgen,Dinas Pekerjaan Umum
kepada yth pemda sampah plastik banyak berserakan di pinggir kali,kebersihan,biasa,Dinas Lingkungan Hidup
dengan hormat perjudian ilegal beroperasi terang terangan di garasi rumah warga tolong diperhatikan,keamanan,urgen,Satuan Polisi Pamong Praja
acara agustusan di kelurahan seru banget makasih pak rt,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
ada geng yang terror warga minta uang paksa tiap malam,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
motor parkir sembarangan di badan jalan ganggu arus lalu lintas minta tolong banget,keamanan,biasa,Satuan Polisi Pamong Praja
got depan pasar tersumbat sampah banjir pas hujan,kebersihan,urgen,Dinas Lingkungan Hidup
got kecil di rt kami jarang dibersihkan petugas kami tunggu tindakannya,kebersihan,biasa,Dinas Lingkungan Hidup
tolong urus izin usaha kecil dipersulit minta biaya yang ga jelas kami sangat terganggu,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
pengaduan: jalan di komplek ada yang berlubang kecil tolong dong,infrastruktur,biasa,Dinas Pekerjaan Umum
pelayanan kelurahan kami sudah membaik lebih cepat dari sebelumnya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
kepada yth pemda jalan di komplek ada yang berlubang kecil tolong dong,infrastruktur,biasa,Dinas Pekerjaan Umum
mohon ada geng yang terror penduduk minta uang paksa tiap malam tolong dong,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
sindikat penipuan online beroperasi di wilayah kami sudah bejibun korban,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
mau lapor nih halte bus atapnya bocor ujan masuk tolong cepet ditangani,infrastruktur,biasa,Dinas Pekerjaan Umum
saluran air besar jebol banjir rendam puluhan rumah warga,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
mas jalan masuk komplek rusak parah susah dilalui motor kapan diselesaikan,infrastruktur,urgen,Dinas Pekerjaan Umum
pengaduan: mantep deh pemda udah cepet nanggepin keluhan warga harap segera ada tindakan,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
selamat pagi mau lapor fogging dbd ga pernah dilakukan padahal kasus terus naik,kesehatan,urgen,Dinas Kesehatan
mau lapor nih nomor antrian di kantor kecamatan sistemnya masih manual tolong diperhatikan,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
dengan hormat maling motor udah masuk ke perumahan kami 3x dalam sebulan ini tolong diperhatikan,keamanan,urgen,Satuan Polisi Pamong Praja
halo pemda surat keterangan domisili dipersulit minta syarat yang enggak masuk akal tolong cepet ditangani,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
minta tolong rambu lalu lintas di tikungan tajam hilang ga ada gantinya minta tolong banget,infrastruktur,urgen,Dinas Pekerjaan Umum
bu ada pungutan liar di terminal oleh oknum preman tolong dong,keamanan,urgen,Satuan Polisi Pamong Praja
tolong sungai kecil belakang perumahan penuh sampah bau busuk sdh kami laporkan berkali kali,kebersihan,urgen,Dinas Lingkungan Hidup
selamat hari jadi kota salatiga semoga makin maju,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
halo pemda ada beberapa warga buang sampah sembarangan di pinggir jalan kami tunggu tindakannya,kebersihan,biasa,Dinas Lingkungan Hidup
ada keluhan nih loket pelayanan ktp cuma buka sampai jam 11 terlalu singkat kami tunggu tindakannya,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
ada keluhan nih ada beberapa warga buang sampah sembarangan di pinggir jalan terima kasih sebelumnya,kebersihan,biasa,Dinas Lingkungan Hidup
dengan hormat urus izin usaha kecil dipersulit minta biaya yang ga jelas warga resah ini,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
pengaduan: tumpukan sampah terbakar asapnya tebal masuk ke rumah warga sesak napas,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
mohon sampah di tps udah meluber ke jalan bau banget lalat dimana mana kapan ada solusinya,kebersihan,urgen,Dinas Lingkungan Hidup
jembatan di desa kami putus total ga bisa dilewati sama sekali,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
pak limbah b3 dibuang sembarangan di lahan kosong dekat pemukiman mohon perhatiannya,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
permisi mau lapor pkl di trotoar bikin macet dan ganggu lalu lintas kami sangat terganggu,keamanan,biasa,Satuan Polisi Pamong Praja
sampah berserakan di depan minimarket ga ada yang bersihin,kebersihan,biasa,Dinas Lingkungan Hidup
minta tolong ada geng yang terror warga minta uang paksa tiap malam terima kasih sebelumnya,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
pengaduan: banjir besar rendam jalan utama setinggi pinggang kendaraan ga bisa lewat,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
selamat pagi mau lapor ada kasus leptospirosis setelah banjir warga mulai demam tinggi,kesehatan,sangat_urgen,Dinas Kesehatan
mohon ada penembakan di daerah kami masyarakat panik ga berani keluar rumah sudah kami laporkan berkali kali,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
laporan: program posyandu di kelurahan kami bagus terus ditingkatkan tolong cepet ditangani,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
kepada yth pemda jadwal dokter spesialis di puskesmas terlalu sedikit,kesehatan,biasa,Dinas Kesehatan
permisi mau lapor got saluran air di perumahan kami mampet udah sebulan sdh kami laporkan berkali kali,infrastruktur,urgen,Dinas Pekerjaan Umum
ada keluhan nih tempat pembuangan sampah sementara kelebihan kapasitas meluap kami tunggu tindakannya,kebersihan,urgen,Dinas Lingkungan Hidup
tolong trotoar depan pasar rusak parah orang sering kesandung mohon perhatiannya,infrastruktur,urgen,Dinas Pekerjaan Umum
lapak pkl menghalangi akses masuk ke gang perumahan,keamanan,biasa,Satuan Polisi Pamong Praja
mohon got kecil di rt kami jarang dibersihkan petugas kapan ada solusinya,kebersihan,biasa,Dinas Lingkungan Hidup
mohon antrian puskesmas ga teratur pasien lansia berdiri berjam jam terima kasih sebelumnya,kesehatan,urgen,Dinas Kesehatan
jalan berlubang gede di depan sekolah udah ada yang jatuh,infrastruktur,urgen,Dinas Pekerjaan Umum
knalpot brong di jalanan bikin bising ganggu ketenangan warga,keamanan,biasa,Satuan Polisi Pamong Praja
halo selamat siang pompa air irigasi rusak sawah warga kekeringan warga resah ini,infrastruktur,urgen,Dinas Pekerjaan Umum
minta tolong acara agustusan di kelurahan seru banget makasih pak rt masyarakat resah ini,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
minta tolong tempat parkir rs daerah kurang luas sering penuh minta tolong banget,kesehatan,biasa,Dinas Kesehatan
mohon tps liar di pinggir jalan numpuk ga pernah diangkut nyamuk banyak,kebersihan,urgen,Dinas Lingkungan Hidup
permisi mau lapor cat jembatan udah kusam perlu dicat ulang,infrastruktur,biasa,Dinas Pekerjaan Umum
tolong tembok penahan tanah jebol longsor ancam rumah warga di bawah mohon ditindak,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
papan informasi kesehatan di puskesmas jarang diperbarui tolong cepet ditangani,kesehatan,biasa,Dinas Kesehatan
permisi mau lapor rambu lalu lintas di tikungan tajam hilang ga ada gantinya tolong dong,infrastruktur,urgen,Dinas Pekerjaan Umum
pak pagar pembatas jalan agak miring perlu dibenerin terima kasih sebelumnya,infrastruktur,biasa,Dinas Pekerjaan Umum
bu program posyandu di kelurahan kami bagus terus ditingkatkan warga resah ini,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
selamat pagi mau lapor sampah medis bekas jarum suntik berserakan di taman bermain anak,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
mau lapor nih reklame ilegal banyak dipasang di pohon pohon jalan,keamanan,biasa,Satuan Polisi Pamong Praja
program pkh kami dihentikan tanpa pemberitahuan dan alasan yang jelas minta tolong banget,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
bank sampah di kelurahan kami ga jalan sudah kami laporkan berkali kali,kebersihan,biasa,Dinas Lingkungan Hidup
minta tolong pemkot salatiga keren programnya pro rakyat,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
pencemaran udara dari pabrik bikin warga sesak napas batuk batuk,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
halo selamat siang taman kota kotor banyak sampah dedaunan,kebersihan,biasa,Dinas Lingkungan Hidup
halo pemda ada oknum yang sering mengintai rumah warga di malam hari mencurigakan mohon ditindak,keamanan,urgen,Satuan Polisi Pamong Praja
sungai butek item bau masyarakat bejibun yang kena penyakit kulit,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
mas warga bakar sampah tiap hari asapnya masuk ke rumah ganggu pernapasan tolong dong,kebersihan,urgen,Dinas Lingkungan Hidup
halo selamat siang lampu penerangan di jembatan mati gelap berbahaya malam hari kami tunggu tindakannya,infrastruktur,urgen,Dinas Pekerjaan Umum
mau lapor nih got meluap banjir masuk rumah warga udah setinggi lutut mohon perhatiannya,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
halo pemda lingkungan rt kurang bersih perlu kerja bakti minta tolong banget,kebersihan,biasa,Dinas Lingkungan Hidup
gorong gorong di bawah jalan tersumbat air meluap ke jalan kami tunggu tindakannya,infrastruktur,urgen,Dinas Pekerjaan Umum
selamat pagi mau lapor selamat pagi pemda semoga makin maju kotanya tolong diperhatikan,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
konflik warga udah berlangsung lama belum ada penyelesaian dari aparat tolong dong,keamanan,urgen,Satuan Polisi Pamong Praja
halo pemda konflik warga udah berlangsung lama belum ada penyelesaian dari aparat mohon perhatiannya,keamanan,urgen,Satuan Polisi Pamong Praja
mas got saluran air di perumahan kami mampet udah sebulan kapan ada solusinya,infrastruktur,urgen,Dinas Pekerjaan Umum
mohon mesin fotokopi di kantor kelurahan sering rusak kami sangat terganggu,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
bu keracunan air minum warga dari pdam banyak yang mual muntah udah lama nih,kesehatan,sangat_urgen,Dinas Kesehatan
jalan alternatif satu satunya ke desa kami rusak parah,infrastruktur,urgen,Dinas Pekerjaan Umum
bu lingkungan rt kurang bersih perlu kerja bakti tolong diperhatikan,kebersihan,biasa,Dinas Lingkungan Hidup
pengumuman kegiatan kelurahan sering terlambat disampaikan ke warga kami tunggu tindakannya,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
mas program posyandu di kelurahan kami bagus terus ditingkatkan,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
selamat pagi mau lapor got depan rumah agak kotor perlu dikuras mohon ditindak,kebersihan,biasa,Dinas Lingkungan Hidup
jalan depan sekolah retak dalam banget anak anak sering jatuh,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
laporan: tawuran pakai senjata tajam ada korban luka parah butuh penanganan cepet udah lama nih,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
mau lapor nih pasien kritis ditolak igd rs daerah katanya penuh padahal darurat harap segera ada tindakan,kesehatan,sangat_urgen,Dinas Kesehatan
ada keluhan nih pelayanan puskesmas kurang ramah perawatnya galak kapan ada solusinya,kesehatan,biasa,Dinas Kesehatan
pak pasien penyakit jantung ga bisa dirujuk karena ga ada ambulans,kesehatan,sangat_urgen,Dinas Kesehatan
makasih ya udah benerin jalan di depan rumah kami,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
dengan hormat papan nama jalan udah pudar susah dibaca mohon perhatiannya,infrastruktur,biasa,Dinas Pekerjaan Umum
stok vaksin di puskesmas habis imunisasi bayi tertunda mohon ditindak,kesehatan,urgen,Dinas Kesehatan
mbak trotoar di jalan retak retak terima kasih sebelumnya,infrastruktur,biasa,Dinas Pekerjaan Umum
mas lampu penerangan di jembatan mati gelap berbahaya malam hari,infrastruktur,urgen,Dinas Pekerjaan Umum
mas rambu lalu lintas di tikungan tajam hilang ga ada gantinya udah lama nih,infrastruktur,urgen,Dinas Pekerjaan Umum
surat keterangan domisili dipersulit minta syarat yang tidak masuk akal kapan ada solusinya,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
sktm buat daftar sekolah ga bisa didapat harus menyogok dulu,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
parkir di kantor kecamatan gak tertata dengan baik tolong cepet ditangani,administrasi,biasa,Dinas Kependudukan dan Catatan Sipil
permisi mau lapor jembatan kayu di desa kami lapuk berbahaya kalo dilewati tolong cepet ditangani,infrastruktur,urgen,Dinas Pekerjaan Umum
bu jembatan retak parah goyang banget kalo dilewati truk sudah kami laporkan berkali kali,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
pak pasien rujukan ditolak rs tanpa alasan yang jelas mohon perhatiannya,kesehatan,urgen,Dinas Kesehatan
jalan kampung kami belum diaspal becek banget kalo ujan,infrastruktur,urgen,Dinas Pekerjaan Umum
rel kereta ga ada pagarnya udah ada yang ketabrak minggu lalu tolong cepet ditangani,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
selamat pagi mau lapor rumput di taman kota tumbuh liar perlu dipangkas,kebersihan,biasa,Dinas Lingkungan Hidup
tolong lingkungan kami sekarang udah bersih makasih petugas kebersihan kami tunggu tindakannya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
mas penerangan jalan minim banget malem gelap gulita rawan kejahatan mohon perhatiannya,keamanan,urgen,Satuan Polisi Pamong Praja
mbak ada pedagang yang jualan di badan jalan bahayain pengendara kami sangat terganggu,keamanan,biasa,Satuan Polisi Pamong Praja
dengan hormat petugas kebersihan jarang masuk ke gang kami,kebersihan,biasa,Dinas Lingkungan Hidup
bu asap pabrik hitam pekat setiap hari ganggu warga sekitar minta tolong banget,kebersihan,urgen,Dinas Lingkungan Hidup
permisi mau lapor jalan longsor nutup akses ke 3 desa warga ga bisa kemana mana,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
salut sama kerja keras pak lurah kami orangnya baik tolong dong,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
halo selamat siang pak camat kami orangnya ramah dan cepat tanggap,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
pelayanan di kecamatan lama banget bisa nunggu sampe sore,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
laporan: peredaran narkoba terang terangan di dekat sekolah anak anak terancam terima kasih sebelumnya,keamanan,sangat_urgen,Satuan Polisi Pamong Praja
pencemaran udara dari pabrik bikin warga sesak napas batuk batuk tolong cepet ditangani,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
minta ada beberapa warga buang sampah sembarangan di pinggir jalan udah lama nih,kebersihan,biasa,Dinas Lingkungan Hidup
selamat pagi pemda semoga makin maju kotanya udah lama nih,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
jambret hp terjadi siang hari di jalan ramai pelaku kabur kapan ada solusinya,keamanan,urgen,Satuan Polisi Pamong Praja
kepada yth pemda sampah di tps udah meluber ke jalan bau banget lalat dimana mana,kebersihan,urgen,Dinas Lingkungan Hidup
selamat pagi mau lapor stok vaksin di puskesmas habis imunisasi bayi tertunda tolong diperhatikan,kesehatan,urgen,Dinas Kesehatan
halo selamat siang klinik desa ga ada dokter tetap cuma ada perawat,kesehatan,urgen,Dinas Kesehatan
laporan: ada pengedar narkoba di lingkungan kami udah lapor tapi belum ada tindakan,keamanan,urgen,Satuan Polisi Pamong Praja
warga membuang sampah ke sungai setiap malam mencemari air tolong cepet ditangani,kebersihan,urgen,Dinas Lingkungan Hidup
selamat pagi mau lapor bahu jalan agak rusak butuh perbaikan ringan,infrastruktur,biasa,Dinas Pekerjaan Umum
pengaduan: jalan depan sekolah retak dalam banget anak anak sering jatuh sudah kami laporkan berkali kali,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
halo selamat siang papan nama jalan udah pudar susah dibaca kapan diselesaikan,infrastruktur,biasa,Dinas Pekerjaan Umum
got depan pasar tersumbat sampah banjir pas hujan terima kasih sebelumnya,kebersihan,urgen,Dinas Lingkungan Hidup
pak got besar penuh sampah plastik banjir kalo ujan minta tolong banget,kebersihan,urgen,Dinas Lingkungan Hidup
pengajuan beasiswa ga diproses padahal syarat lengkap dan nilai bagus sudah kami laporkan berkali kali,administrasi,urgen,Dinas Kependudukan dan Catatan Sipil
mau lapor nih jalan alternatif satu satunya ke desa kami rusak parah kami tunggu tindakannya,infrastruktur,urgen,Dinas Pekerjaan Umum
laporan: jembatan gantung mau putus kabelnya udah pada karatan parah tolong diperhatikan,infrastruktur,sangat_urgen,Dinas Pekerjaan Umum
pengaduan: maling motor udah masuk ke perumahan kami 3x dalam sebulan ini tolong cepet ditangani,keamanan,urgen,Satuan Polisi Pamong Praja
mbak pak rt kami aktif banget ngurus warga mantap jiwa kapan ada solusinya,administrasi,tidak_urgen,Dinas Kependudukan dan Catatan Sipil
tolong ada pembuangan limbah ilegal di dekat sekolah baunya menyengat kapan diselesaikan,kebersihan,sangat_urgen,Dinas Lingkungan Hidup
ada oknum yang sering mengintai rumah warga di malam hari mencurigakan,keamanan,urgen,Satuan Polisi Pamong Praja
